,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
0,Air_India,AI-430,Chennai,1,1,3,Mumbai,1,10.08,17,49553
1,Vistara,UK-996,Mumbai,3,1,3,Hyderabad,0,25.42,8,11129
2,Vistara,UK-776,Kolkata,3,0,4,Mumbai,0,2.75,47,4499
3,Air_India,AI-9720,Kolkata,0,2,1,Chennai,0,25.17,15,13664
4,GO_FIRST,G8-537,Kolkata,3,1,4,Mumbai,0,5,3,18259
5,Air_India,AI-805,Delhi,3,0,4,Mumbai,0,2.17,45,2476
6,GO_FIRST,G8-512,Kolkata,0,1,3,Bangalore,0,11.25,39,6109
7,Vistara,UK-826,Chennai,2,1,0,Hyderabad,1,19.33,7,41064
8,Vistara,UK-950,Mumbai,4,1,3,Hyderabad,0,22,7,9879
9,Vistara,UK-720,Kolkata,0,1,4,Chennai,0,15.58,33,5910
10,Vistara,UK-866,Bangalore,4,1,1,Delhi,0,12,18,4796
11,SpiceJet,SG-768,Bangalore,2,1,4,Kolkata,0,5.75,19,4814
12,Air_India,AI-467,Delhi,3,1,1,Bangalore,0,17.92,44,6177
13,Vistara,UK-833,Delhi,0,1,2,Mumbai,0,7.33,9,14565
14,GO_FIRST,G8-9110,Chennai,0,1,4,Mumbai,0,14.75,15,11104
15,Vistara,UK-826,Chennai,2,1,3,Delhi,0,28.25,34,7695
16,Air_India,AI-635,Mumbai,0,1,3,Kolkata,0,12.08,26,4556
17,Air_India,AI-9517,Bangalore,3,0,4,Hyderabad,0,1.42,37,1977
18,Vistara,UK-960,Mumbai,1,1,4,Kolkata,1,10.83,15,62045
19,Vistara,UK-814,Bangalore,4,1,1,Hyderabad,1,12.5,26,64025
20,Vistara,UK-828,Chennai,0,1,4,Delhi,0,13.67,42,4971
21,Vistara,UK-910,Mumbai,3,1,1,Chennai,1,16.33,31,57453
22,Air_India,AI-541,Hyderabad,3,1,4,Bangalore,1,27.83,2,59367
23,Vistara,UK-776,Kolkata,3,1,4,Hyderabad,0,27.33,49,7271
24,Vistara,UK-832,Chennai,0,1,4,Mumbai,1,13.17,10,64113
25,Vistara,UK-816,Bangalore,1,1,1,Mumbai,0,24,8,14733
26,Indigo,6E-897,Bangalore,1,1,4,Kolkata,0,10.17,23,7462
27,Air_India,AI-685,Mumbai,0,1,4,Hyderabad,0,16,21,5723
28,SpiceJet,SG-406,Kolkata,4,0,4,Bangalore,0,2.67,12,6488
29,Indigo,6E-2178,Delhi,0,1,2,Kolkata,0,8.75,13,5955
30,Vistara,UK-928,Mumbai,0,1,3,Hyderabad,0,13.42,38,4779
31,Vistara,UK-878,Hyderabad,2,1,3,Kolkata,0,27.92,33,7767
32,Air_India,AI-465,Delhi,3,1,3,Bangalore,0,25.08,6,11783
33,SpiceJet,SG-251,Mumbai,3,1,1,Kolkata,0,13.25,19,5915
34,Indigo,6E-417,Kolkata,2,0,3,Chennai,0,2.33,34,3229
35,AirAsia,I5-775,Delhi,2,2,4,Bangalore,0,11,46,3090
36,Vistara,UK-824,Chennai,4,1,1,Bangalore,1,14.25,40,44144
37,Vistara,UK-855,Delhi,3,1,2,Mumbai,0,20.08,29,8805
38,Air_India,AI-774,Mumbai,4,1,3,Delhi,0,21.08,29,6215
39,Vistara,UK-910,Mumbai,3,1,3,Chennai,0,22.75,25,5033
